number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
4,3,,,,,0,12,12,19,,,,,3,0,3,0,,,,,down,0.700234396354,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,3,,,,,0,12,12,19,,,,,4,0,4,0,,,,,down,0.916917589435,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,3,,,,,0,12,12,19,,,,,5,0,5,0,,,,,left,0.433569677058,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,3,,,,,0,12,12,19,,,,,6,0,6,0,,,,,down,1.03352799258,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,3,,,,,0,12,12,19,,,,,7,0,7,0,,,,,down,0.650240238494,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,0,0,0,0,,,,,down,1.41691324729,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,1,0,1,0,,,,,left,0.616947510687,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,2,0,2,0,,,,,left,1.30021994887,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,3,0,3,0,,,,,left,1.18356138753,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,4,0,4,0,,,,,left,0.583582150837,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,5,0,5,0,,,,,down,0.333562808606,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,6,0,6,0,,,,,down,0.81688269446,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,7,0,7,0,,,,,left,1.28362391429,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,8,0,8,0,,,,,down,0.516909063066,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
3,1,,,,,0,13,13,2,,,,,9,0,9,0,,,,,down,0.483584756119,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,0,0,0,0,,,,,down,1.46691174729,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,1,0,1,0,,,,,left,0.483563045447,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,2,0,2,0,,,,,down,0.750233685802,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,3,0,3,0,,,,,left,0.833575045515,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,4,0,4,0,,,,,left,0.383562492789,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,5,0,5,0,,,,,down,0.633611440484,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,3,,,,,0,14,14,22,,,,,6,0,6,0,,,,,down,0.550583503966,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,0,0,0,0,,,,,right,3.13358815087,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,1,0,1,0,,,,,left,0.433617440547,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,2,0,2,0,,,,,left,0.483561466477,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,3,0,3,0,,,,,down,0.416897852439,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,4,0,4,0,,,,,left,0.300349423458,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,5,0,5,0,,,,,down,0.433555466414,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,6,0,6,0,,,,,left,0.733604493085,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,7,0,7,0,,,,,down,0.633559729642,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,8,0,8,0,,,,,left,0.483572519181,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,9,0,9,0,,,,,left,0.383562098054,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,10,0,10,0,,,,,left,0.400238659524,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,11,0,11,0,,,,,down,0.500286186172,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,2,,,,,0,15,15,9,,,,,12,0,12,0,,,,,down,1.55022784366,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,0,0,0,0,,,,,left,1.61690211564,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,1,0,1,0,,,,,down,0.933561782265,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,2,0,2,0,,,,,down,0.450235975295,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,3,0,3,0,,,,,left,0.766893273481,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,4,0,4,0,,,,,left,0.43361072996,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,5,0,5,0,,,,,left,0.850221606757,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,6,0,6,0,,,,,down,0.516901168274,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,7,0,7,0,,,,,left,0.333549782197,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,8,0,8,0,,,,,left,1.16671627227,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,9,0,9,0,,,,,left,0.566874799697,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,10,0,10,0,,,,,down,0.500238422683,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,3,,,,,0,16,16,23,,,,,11,0,11,0,,,,,down,0.900249317492,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,0,0,0,0,,,,,left,0.816909536748,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,1,0,1,0,,,,,down,0.583773994236,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,2,0,2,0,,,,,left,0.333550966403,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,3,0,3,0,,,,,down,0.533588387712,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,4,0,4,0,,,,,left,0.26690629989,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,5,0,5,0,,,,,left,0.283570624422,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,6,0,6,0,,,,,down,0.483561861212,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,7,0,7,0,,,,,left,0.250231712125,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,8,0,8,0,,,,,left,0.300280738738,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,9,0,9,0,,,,,left,0.400225633115,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,10,0,10,0,,,,,down,0.383594466693,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
5,3,,,,,0,17,17,20,,,,,11,0,11,0,,,,,down,0.533557598013,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,0,0,0,0,,,,,down,0.883562887524,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,1,0,1,0,,,,,left,0.233569361269,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,2,0,2,0,,,,,left,0.266943405411,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,3,0,3,0,,,,,left,0.300247185922,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,4,0,4,0,,,,,down,0.983518439869,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,5,0,5,0,,,,,down,0.500235264772,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,6,0,6,0,,,,,left,0.250241975358,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,7,0,7,0,,,,,down,0.517153012101,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,8,0,8,0,,,,,down,0.516901563009,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,9,0,9,0,,,,,left,0.250226975215,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,10,0,10,0,,,,,left,0.283574177069,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,11,0,11,0,,,,,left,0.350219238317,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,12,0,12,0,,,,,left,0.316901641956,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,13,0,13,0,,,,,down,0.350202264526,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,14,0,14,0,,,,,left,0.233564624388,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,15,0,15,0,,,,,left,0.300232975278,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,16,0,16,0,,,,,left,0.36689303664,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,17,0,17,0,,,,,left,0.316875983874,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,18,0,18,0,,,,,down,0.350246870104,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,19,0,19,0,,,,,left,0.23358712456,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,20,0,20,0,,,,,down,0.46691135256,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,21,0,21,0,,,,,down,0.383564466494,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,22,0,22,0,,,,,left,0.300888242928,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,23,0,23,0,,,,,left,0.383580256079,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,24,0,24,0,,,,,left,0.366904878814,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,25,0,25,0,,,,,left,0.250249475415,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,26,0,26,0,,,,,left,0.383561308583,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,27,0,27,0,,,,,left,0.216895562975,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,28,0,28,0,,,,,left,0.400245764846,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,29,0,29,0,,,,,left,0.950247422734,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,30,0,30,0,,,,,down,0.416917589435,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,31,0,31,0,,,,,left,0.350214106729,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,32,0,32,0,,,,,left,0.350235422666,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,33,0,33,0,,,,,down,0.266914984153,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
8,2,,,,,0,18,18,15,,,,,34,0,34,0,,,,,down,0.78357970345,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,1,,,,,0,19,19,1,,,,,0,0,0,0,,,,,left,2.01691222098,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,1,,,,,0,19,19,1,,,,,1,0,1,0,,,,,left,0.383568413905,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,1,,,,,0,19,19,1,,,,,2,0,2,0,,,,,down,0.900301817863,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
2,1,,,,,0,19,19,1,,,,,3,0,3,0,,,,,down,0.333582940308,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,1,,,,,0,20,20,6,,,,,0,0,0,0,,,,,down,0.516892878746,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,1,,,,,0,20,20,6,,,,,1,0,1,0,,,,,down,0.316903615632,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,1,,,,,0,20,20,6,,,,,2,0,2,0,,,,,left,0.650264712342,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,1,,,,,0,20,20,6,,,,,3,0,3,0,,,,,down,0.283555229573,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
7,1,,,,,0,20,20,6,,,,,4,0,4,0,,,,,down,0.433568098088,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,1,,,,,0,21,21,3,,,,,0,0,0,0,,,,,down,0.766912220977,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
4,1,,,,,0,21,21,3,,,,,1,0,1,0,,,,,down,0.300074684725,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,1,,,,,0,22,22,5,,,,,0,0,0,0,,,,,down,0.733581598179,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
6,1,,,,,0,22,22,5,,,,,1,0,1,0,,,,,down,0.300240475335,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,2,,,,,0,23,23,8,,,,,0,0,0,0,,,,,right,1.50025065959,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,2,,,,,0,23,23,8,,,,,1,0,1,0,,,,,down,0.450361897208,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
1,2,,,,,0,23,23,8,,,,,2,0,2,0,,,,,down,0.716987537278,MTA,M,36,59.9982000438,Set,2017_04_28_1327,
