number_of_fixational_trials,size,estimating_threshold.thisRepN,estimating_threshold.thisTrialN,estimating_threshold.thisN,estimating_threshold.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,rating_up.response,rating_up.rt,rating_down.response,rating_down.rt,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
6,2,,,,,0,16,16,13,,,,,17,0,17,0,,,,,left,0.433565334912,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,18,0,18,0,,,,,down,0.500241580594,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,19,0,19,0,,,,,left,0.533571019158,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,20,0,20,0,,,,,left,0.45023715953,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,21,0,21,0,,,,,left,0.550221527839,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,22,0,22,0,,,,,down,0.633588940342,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,23,0,23,0,,,,,down,0.500238027947,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,24,0,24,0,,,,,left,0.516919721034,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,25,0,25,0,,,,,left,0.733559098036,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,26,0,26,0,,,,,down,0.333569519164,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,27,0,27,0,,,,,left,0.450261633378,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,28,0,28,0,,,,,down,0.633563677024,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
6,2,,,,,0,16,16,13,,,,,29,0,29,0,,,,,down,0.450245843793,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,2,,,,,0,17,17,12,,,,,0,0,0,0,,,,,left,0.500255791238,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,2,,,,,0,17,17,12,,,,,1,0,1,0,,,,,left,0.466891615564,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,2,,,,,0,17,17,12,,,,,2,0,2,0,,,,,down,0.300230606867,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
5,2,,,,,0,17,17,12,,,,,3,0,3,0,,,,,down,0.450237554236,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
2,2,,,,,0,18,18,9,,,,,0,0,0,0,,,,,down,0.650248133257,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
2,2,,,,,0,18,18,9,,,,,1,0,1,0,,,,,left,0.666931800079,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
2,2,,,,,0,18,18,9,,,,,2,0,2,0,,,,,down,0.633562098054,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
2,2,,,,,0,18,18,9,,,,,3,0,3,0,,,,,down,0.366964879213,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,0,0,0,0,,,,,down,0.566906378837,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,1,0,1,0,,,,,left,0.566827430914,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,2,0,2,0,,,,,left,0.333562808606,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,3,0,3,0,,,,,left,0.400208264589,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,4,0,4,0,,,,,left,0.650218922558,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,5,0,5,0,,,,,left,0.400347212912,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,6,0,6,0,,,,,left,0.316900063015,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,7,0,7,0,,,,,left,0.333603861509,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,8,0,8,0,,,,,left,0.433576387615,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,9,0,9,0,,,,,left,0.35026344916,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,10,0,10,0,,,,,down,0.516934721149,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,11,0,11,0,,,,,down,0.433566124411,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,12,0,12,0,,,,,left,0.416904957761,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,13,0,13,0,,,,,left,0.433538097888,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,14,0,14,0,,,,,down,0.516907878831,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,15,0,15,0,,,,,left,0.633713283285,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,16,0,16,0,,,,,left,0.416997721564,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,17,0,17,0,,,,,left,0.466896352445,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,18,0,18,0,,,,,down,0.600222396257,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,19,0,19,0,,,,,left,0.450258870202,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,20,0,20,0,,,,,left,0.533556808543,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,21,0,21,0,,,,,left,0.43339638639,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,22,0,22,0,,,,,left,0.366911194666,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,23,0,23,0,,,,,left,0.400271817663,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,24,0,24,0,,,,,left,0.466907405149,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,25,0,25,0,,,,,down,0.566896905075,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,26,0,26,0,,,,,left,0.483689362096,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,27,0,27,0,,,,,down,0.516901168274,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,3,,,,,0,19,19,22,,,,,28,0,28,0,,,,,down,0.450229659473,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,1,,,,,0,20,20,6,,,,,0,0,0,0,,,,,down,0.650228791026,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
7,1,,,,,0,20,20,6,,,,,1,0,1,0,,,,,down,0.40035708138,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
3,3,,,,,0,21,21,18,,,,,0,0,0,0,,,,,left,0.650217343587,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
3,3,,,,,0,21,21,18,,,,,1,0,1,0,,,,,down,0.616903299873,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
3,3,,,,,0,21,21,18,,,,,2,0,2,0,,,,,left,0.466882536566,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
3,3,,,,,0,21,21,18,,,,,3,0,3,0,,,,,down,0.41683864154,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
3,3,,,,,0,21,21,18,,,,,4,0,4,0,,,,,down,0.466919642087,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
2,3,,,,,0,22,22,17,,,,,0,0,0,0,,,,,left,0.93339559692,SEV,f,19,59.9993368451,Set,2017_04_28_1342,
