"","answer.keys","n","size","trials_3.thisRepN","participant"
"167","down",3,3,1,"KVA"
"168","down",6,5,1,"KVA"
"169","down",4,3,1,"KVA"
"170","down",1,2,1,"KVA"
"171","down",1,3,1,"KVA"
"172","down",4,5,1,"KVA"
"173","down",2,5,1,"KVA"
"174","down",1,4,1,"KVA"
"175","down",5,2,1,"KVA"
"176","down",4,2,1,"KVA"
"177","down",1,1,1,"KVA"
"178","down",3,1,1,"KVA"
"179","down",6,4,1,"KVA"
"180","down",3,5,1,"KVA"
"181","down",2,1,1,"ZVV"
"182","left",4,4,1,"ZVV"
"183","left",4,3,1,"ZVV"
"184","left",6,1,1,"ZVV"
"185","left",1,3,1,"ZVV"
"186","down",5,4,1,"ZVV"
"187","left",3,1,1,"ZVV"
"188","left",5,2,1,"ZVV"
"189","left",2,2,1,"ZVV"
"190","left",2,3,1,"ZVV"
"191","left",3,5,1,"ZVV"
"192","down",2,4,1,"ZVV"
"193","left",1,4,1,"ZVV"
"194","left",1,5,1,"ZVV"
"195","left",1,1,1,"ZVV"
"196","down",2,5,1,"ZVV"
"197","left",4,5,1,"ZVV"
"198","down",6,2,1,"ZVV"
"199","left",3,3,1,"ZVV"
"200","down",3,2,1,"ZVV"
"201","left",6,5,1,"ZVV"
"202","down",5,1,1,"ZVV"
"203","left",3,4,1,"ZVV"
"204","down",4,1,1,"ZVV"
"205","left",1,2,1,"ZVV"
"206","left",4,2,1,"ZVV"
"207","left",5,5,1,"ZVV"
"208","left",5,3,1,"ZVV"
"209","down",6,4,1,"ZVV"
"210","left",6,3,1,"ZVV"
"211","down",1,3,1,"PK"
"212","right",2,1,1,"PK"
"213","left",6,5,1,"PK"
"214","down",1,2,1,"PK"
"215","down",2,4,1,"PK"
"216","down",4,3,1,"PK"
"217","left",5,3,1,"PK"
"218","left",6,4,1,"PK"
"219","down",2,3,1,"PK"
"220","left",5,2,1,"PK"
"221","down",1,5,1,"PK"
"222","down",6,2,1,"PK"
"223","right",4,5,1,"PK"
"224","left",3,4,1,"PK"
"225","down",3,5,1,"PK"
"226","down",5,1,1,"PK"
"227","down",4,4,1,"PK"
"228","down",1,4,1,"PK"
"229","left",2,5,1,"PK"
"230","down",4,1,1,"PK"
"231","right",3,3,1,"PK"
"232","down",2,2,1,"PK"
"233","right",6,1,1,"PK"
"234","left",6,3,1,"PK"
"235","down",1,1,1,"PK"
"236","down",4,2,1,"PK"
"237","left",5,4,1,"PK"
"238","down",5,5,1,"PK"
"239","down",3,1,1,"PK"
"240","down",3,2,1,"PK"
"241","right",6,1,1,"AK"
"242","down",2,1,1,"AK"
"243","down",3,1,1,"AK"
"244","right",3,3,1,"AK"
"245","right",2,2,1,"AK"
"246","right",6,3,1,"AK"
"247","right",2,4,1,"AK"
"248","right",2,5,1,"AK"
"249","right",5,3,1,"AK"
"250","right",1,5,1,"AK"
"251","right",6,5,1,"AK"
"252","right",5,2,1,"AK"
"253","right",3,4,1,"AK"
"254","right",1,4,1,"AK"
"255","down",2,3,1,"AK"
"256","right",6,2,1,"AK"
"257","left",5,5,1,"AK"
"258","right",5,4,1,"AK"
"259","right",6,4,1,"AK"
