70.7816 	EXP 	New trial (rep=1, index=0): None
70.7979 	EXP 	bigger_circle: autoDraw = False
70.7979 	EXP 	smaller_circle: autoDraw = False
70.7979 	EXP 	fixational_point_1: autoDraw = False
70.7979 	EXP 	bigger_circle: size = array([ 2.8,  2.8])
70.7979 	EXP 	fixational_point_1: autoDraw = True
71.2227 	EXP 	bigger_circle: autoDraw = True
71.2227 	EXP 	smaller_circle: autoDraw = True
71.3479 	EXP 	bigger_circle: autoDraw = False
71.3479 	EXP 	smaller_circle: autoDraw = False
71.7897 	EXP 	New trial (rep=2, index=0): None
71.8145 	EXP 	bigger_circle: autoDraw = False
71.8145 	EXP 	smaller_circle: autoDraw = False
71.8145 	EXP 	fixational_point_1: autoDraw = False
71.8145 	EXP 	bigger_circle: size = array([ 2.8,  2.8])
71.8145 	EXP 	fixational_point_1: autoDraw = True
72.2312 	EXP 	bigger_circle: autoDraw = True
72.2312 	EXP 	smaller_circle: autoDraw = True
72.3479 	EXP 	bigger_circle: autoDraw = False
72.3479 	EXP 	smaller_circle: autoDraw = False
72.7816 	EXP 	New trial (rep=3, index=0): None
72.8059 	EXP 	bigger_circle: autoDraw = False
72.8059 	EXP 	smaller_circle: autoDraw = False
72.8059 	EXP 	fixational_point_1: autoDraw = False
72.8059 	EXP 	bigger_circle: size = array([ 2.8,  2.8])
72.8059 	EXP 	fixational_point_1: autoDraw = True
73.2226 	EXP 	bigger_circle: autoDraw = True
73.2226 	EXP 	smaller_circle: autoDraw = True
73.3479 	EXP 	bigger_circle: autoDraw = False
73.3479 	EXP 	smaller_circle: autoDraw = False
73.7740 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
73.7748 	EXP 	New trial (rep=0, index=0): None
73.7979 	EXP 	bigger_circle: autoDraw = False
73.7979 	EXP 	smaller_circle: autoDraw = False
73.7979 	EXP 	fixational_point_1: autoDraw = False
73.7979 	EXP 	fixational_point_2: autoDraw = True
74.3812 	EXP 	fixational_point_2: autoDraw = False
74.3979 	EXP 	circle_1: autoDraw = True
74.3979 	EXP 	circle_2: autoDraw = True
74.5312 	EXP 	circle_1: autoDraw = False
74.5312 	EXP 	circle_2: autoDraw = False
74.5978 	EXP 	question: autoDraw = True
80.2646 	DATA 	Keypress: right
